Site,geo_point,Geo Shape,Shape__Length
Stade de France,"48.91248118609209, 2.36318097364169","{""coordinates"": [[2.3643705367713, 48.9065865973624], [2.36475677551256, 48.9090985927329], [2.36509056162436, 48.9112187250558], [2.36350627122969, 48.9112422287816], [2.36329437572218, 48.9111956121624], [2.36261994935296, 48.9108982815587], [2.36295075485466, 48.9136372583304], [2.36274273467926, 48.9136689871169], [2.36179084836317, 48.9137696590507], [2.36166687097248, 48.9138252828578], [2.36165435384733, 48.9146753029674], [2.36178250391249, 48.915440700632], [2.36196489425451, 48.9174360067635], [2.36191124956067, 48.9180846401579], [2.36213655511878, 48.9187544158919]], ""type"": ""LineString""}",2532.7778107123645
CPL,"48.8985015826174, 2.362608198490725","{""coordinates"": [[2.36262393068629, 48.8983072657725], [2.36259246629516, 48.8986958994623]], ""type"": ""LineString""}",65.90214478909034
Trocadero,"48.863518807649996, 2.29172445750574","{""coordinates"": [[2.28839766589546, 48.8631047965147], [2.29046697557665, 48.8636976908879], [2.29021811529347, 48.8639627234857], [2.29335238672709, 48.8647522402321], [2.29364007219685, 48.864282790671], [2.29218015085834, 48.8628987924287], [2.292154404244, 48.8626702035374], [2.29296567008211, 48.8621538794277], [2.29295543198283, 48.8621109874628], [2.29293115680893, 48.8620394578285], [2.2921156248715, 48.8614014007644]], ""type"": ""LineString""}",1373.5413972392603
La Concorde,"48.870575722990395, 2.330993026925345","{""coordinates"": [[2.33222667971177, 48.8707977264135], [2.32975937413892, 48.8703537195673]], ""type"": ""LineString""}",284.7529398717402
BCY,"48.84196411802606, 2.376960518954892","{""coordinates"": [[2.3735543741453, 48.8438155428676], [2.3761601217815, 48.84237762728], [2.37636227955137, 48.8423548857629], [2.37809659847991, 48.841426366097], [2.37874267940866, 48.8410585111742], [2.37857816464249, 48.8409481970936], [2.37905796292058, 48.8406175490099], [2.37974174973506, 48.8404969778417], [2.37996022630034, 48.8404592760861], [2.37987630838146, 48.8402406830329], [2.37976210825435, 48.8402051444183]], ""type"": ""LineString""}",1004.9702087315832
GRPouLCO,"48.86971211802687, 2.3084165876686815","{""coordinates"": [[2.30918691118855, 48.8690875023565], [2.30943464857759, 48.8694458602061], [2.30708090892129, 48.8701365953602]], ""type"": ""LineString""}",353.53398780373993
Stade de France,"48.92834727951015, 2.35684008640698","{""coordinates"": [[2.35684008640698, 48.9290028244146], [2.35684008640698, 48.9276917346057], [2.35684008640698, 48.9276917346057]], ""type"": ""LineString""}",222.14509999752045
AQC,"48.918417028876604, 2.352878427969105","{""coordinates"": [[2.35445556687576, 48.9184029283745], [2.35130128906245, 48.9184311293787]], ""type"": ""LineString""}",351.1650970367553
La Concorde,"48.86998889172184, 2.325365099907393","{""coordinates"": [[2.32523745532296, 48.8696540768101], [2.32521345503351, 48.8697945473967], [2.3255801940449, 48.8703034509814]], ""type"": ""LineString""}",119.234316633684
CPL,"48.89873838463046, 2.3592947746954978","{""coordinates"": [[2.36026698673935, 48.898888013038], [2.35879291154523, 48.8988415833157], [2.3588219846211, 48.8982392626862], [2.35891181435288, 48.8981540838948]], ""type"": ""LineString""}",283.8774387443142
La Concorde,"48.86325262728838, 2.3302376771555835","{""coordinates"": [[2.33647237017112, 48.8622505177066], [2.33190547450552, 48.8637263145706], [2.33092008102932, 48.862398069448], [2.32978204132848, 48.8627449453757], [2.3296785706791, 48.8630264562252], [2.32927671023509, 48.863145560743], [2.32888970702753, 48.8630169186088], [2.32644088698658, 48.8637826819505], [2.32475179104609, 48.8643098385416], [2.32442727195474, 48.8642293496615], [2.3241136664958, 48.8641515672197], [2.32388379839436, 48.8642042282543]], ""type"": ""LineString""}",1715.430782508463
GRP,"48.8679565992309, 2.312004091250756","{""coordinates"": [[2.31037334582866, 48.8684352010249], [2.31363483667285, 48.8674779974369]], ""type"": ""LineString""}",397.5654050521927
Invalides,"48.862751747138304, 2.314508878450261","{""coordinates"": [[2.31383056699683, 48.8626051824854], [2.3138412138296, 48.8627277528658], [2.31405253980525, 48.8627473051199], [2.31426761445055, 48.8627824400612], [2.31503062638488, 48.8627784521966], [2.31509991164612, 48.8626964071913], [2.31526504355493, 48.8626895696582]], ""type"": ""LineString""}",188.4409145604401
