Site,Geo Point,Geo Shape,Shape Length,Nom français
LBO,"48.93851517446037, 2.4186287142116893","{""coordinates"":[[2.42070795221677,48.9392048872726],[2.42059351134117,48.9389323895062],[2.41976381476834,48.9390952621642],[2.41896749689652,48.9389104642661],[2.41824270468427,48.9386223037465],[2.4175512902747,48.9381117551373],[2.41687738043677,48.9374722461374],[2.41705381045687,48.9373720137948],[2.41699659046822,48.9372529874789]],""type"":""LineString""}",627.3593748584655,Site d'escalade du Bourget
LBO,"48.93855814775324, 2.4187913963024923","{""coordinates"":[[2.42121183073439,48.939257602051],[2.42058717462515,48.9389287251707],[2.41980992978344,48.9391072588392],[2.41893731799453,48.9389287251707],[2.41826020835758,48.9386624907052],[2.41756402658878,48.938130016334],[2.41689168610764,48.9375254950038],[2.41688214959259,48.9374659817694],[2.41708718915789,48.9373469562677],[2.41697751653978,48.9372467230834]],""type"":""LineString""}",677.7096000769691,Site d'escalade du Bourget
LCO,"48.86510580487766, 2.3295830447053283","{""coordinates"":[[2.33149443148264,48.86660427504],[2.33014259813408,48.8643387402123],[2.32722435535658,48.8652350855664],[2.32710633738951,48.8650586409508]],""type"":""LineString""}",803.0003841788483,La Concorde
LCO,"48.86511633455298, 2.329616407216476","{""coordinates"":[[2.3314837029032,48.866611333044],[2.33016405619125,48.8643669717278],[2.32725654109489,48.86522096976],[2.32715998208331,48.8650868720602]],""type"":""LineString""}",786.7864406917929,La Concorde
LCO,"48.86510184479098, 2.329603575990436","{""coordinates"":[[2.33149443148264,48.8665972176259],[2.33016405619125,48.8643387402123],[2.32725654109489,48.8652280279591],[2.32713852402615,48.8650586409508]],""type"":""LineString""}",798.3433685141212,La Concorde
LCO,"48.8650988772391, 2.3296019154411995","{""coordinates"":[[2.33149443148264,48.8665972176259],[2.33016405619125,48.8643387402123],[2.32723508393602,48.86522096976],[2.32712779544671,48.8650656985819]],""type"":""LineString""}",797.342881367186,La Concorde
LCS,"48.9406531105445, 2.404880864156682","{""coordinates"":[[2.40497556852262,48.9402155717158],[2.40500945960316,48.9403604597224],[2.40459732405788,48.9406089455973],[2.40521857850388,48.941052071438]],""type"":""LineString""}",189.211496244372,La Courneuve
LCS,"48.94076637026184, 2.4048115162931856","{""coordinates"":[[2.40437389114711,48.9405247593795],[2.40460989265652,48.9405993842455],[2.40521939923571,48.941065193702]],""type"":""LineString""}",133.2525800211965,La Courneuve
LCS,"48.940727609717214, 2.4047898027717123","{""coordinates"":[[2.40437522714779,48.9403903700309],[2.40462972438565,48.9405829730047],[2.40460457835546,48.9406042393872],[2.40522717738553,48.9410615021125]],""type"":""LineString""}",151.7520006532994,La Courneuve
LCS,"48.94064378297263, 2.4048581574994237","{""coordinates"":[[2.40485588113607,48.9402369944332],[2.40495896222746,48.9403715954887],[2.40459872919905,48.9406102228957],[2.40518962229144,48.94102090621]],""type"":""LineString""}",178.2540312850731,La Courneuve
