Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
Parc des sports Auguste Delaune,"48.947337721845, 2.35621870261593","{""coordinates"": [2.35621870261593, 48.947337721845], ""type"": ""Point""}",Parc des sports Auguste Delaune (ADE) - TA
Parc des sports Charles Ehrmann,"43.676826296237, 7.19770806882287","{""coordinates"": [7.19770806882287, 43.676826296237], ""type"": ""Point""}",Parc des sports Charles Ehrmann (CEH) - P2LZ
Parc des sports Charles Ehrmann,"43.6781919690813, 7.19638395203326","{""coordinates"": [7.19638395203326, 43.6781919690813], ""type"": ""Point""}",Parc des sports Charles Ehrmann (CEH) - TA
Parc des sports Charles Ehrmann,"43.6768650945625, 7.19762491896357","{""coordinates"": [7.19762491896357, 43.6768650945625], ""type"": ""Point""}",Parc des sports Charles Ehrmann (CEH) - TX
Parc des Sports Charles Ehrmann 1,"43.6803258281919, 7.19621288906816","{""coordinates"": [7.19621288906816, 43.6803258281919], ""type"": ""Point""}",
Parc des sports Georges Prudhomme,"48.9571387880989, 2.56755409105114","{""coordinates"": [2.56755409105114, 48.9571387880989], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - P2LZ
Parc des sports Georges Prudhomme,"48.9555667022234, 2.57022048844378","{""coordinates"": [2.57022048844378, 48.9555667022234], ""type"": ""Point""}",Parc des sports Georges Prudhomme (GPR) - TA
Parc des sports Georges Prudhomme,"48.9570651375877, 2.56744095003774","{""coordinates"": [2.56744095003774, 48.9570651375877], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TX
Parc des Sports Raymond Troussier,"45.7655429749807, 4.95603914164992","{""coordinates"": [4.95603914164992, 45.7655429749807], ""type"": ""Point""}",Parc des Sports Raymond Troussier (RTR) - P2LZ
Parc des Sports Raymond Troussier,"45.7655442220366, 4.95596046360407","{""coordinates"": [4.95596046360407, 45.7655442220366], ""type"": ""Point""}",Parc des Sports Raymond Troussier (RTR) - TX
Parc des Sports Raymond Troussier,"45.7655167792807, 4.95573515894428","{""coordinates"": [4.95573515894428, 45.7655167792807], ""type"": ""Point""}",Parc des Sports Raymond Troussier (RTR) - TA
PARIS AUSTERLITZ Sortie Cour Seine,"48.8428856448987, 2.3658886273877","{""coordinates"": [2.3658886273877, 48.8428856448987], ""type"": ""Point""}",PARIS AUSTERLITZ Sortie Cour Seine PFR-navettes
Paris Gare de l'Est,"48.8756604187637, 2.35806027704055","{""coordinates"": [2.35806027704055, 48.8756604187637], ""type"": ""Point""}",Gare de l'Est - Night 1
Paris Gare de l'Est,"48.8756216091126, 2.35759357170772","{""coordinates"": [2.35759357170772, 48.8756216091126], ""type"": ""Point""}",Gare de l'Est - Night 2
Paris Gare de l'Est,"48.8771802217413, 2.36116260977257","{""coordinates"": [2.36116260977257, 48.8771802217413], ""type"": ""Point""}",Paris Gare de l'Est (PES) - TA
Paris Gare de l'Est,"48.8763523077377, 2.35775943810944","{""coordinates"": [2.35775943810944, 48.8763523077377], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TX
Paris Gare de l'Est - AND,"48.8761222389553, 2.35871459213985","{""coordinates"": [2.35871459213985, 48.8761222389553], ""type"": ""Point""}",Gare de l'Est
Paris Gare de l'Est rue d'Alsace,"48.8773882657266, 2.3580839936343","{""coordinates"": [2.3580839936343, 48.8773882657266], ""type"": ""Point""}",PARIS GARE DE L'EST Sortie rue d'Alsace PFR-navettes
Paris Gare de Lyon,"48.8439041030224, 2.377652162383","{""coordinates"": [2.377652162383, 48.8439041030224], ""type"": ""Point""}",Paris Gare de Lyon (PLY) - TA
Paris Gare de Lyon,"48.8437390718971, 2.37357162718862","{""coordinates"": [2.37357162718862, 48.8437390718971], ""type"": ""Point""}",Gare de Lyon
